channel_number,channel_id,stream_id,stream_name,stream_url,channel_group_id,timestamp,video_codec,audio_codec,interlaced_status,status,bitrate_kbps,fps,resolution,frames_decoded,frames_dropped,err_decode,err_discontinuity,err_timeout
1.0,1,110066,|UK| BBC One Channel Islands ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/690825.ts,835,2025-12-13T17:40:13.797366,h264,ac3,INTERLACED,OK,6965.064,25.0,1920x1080,315.0,0.0,False,False,False
1.0,1,62840,|UK|  BBC ONE SCOT ᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77365.ts,835,2025-12-13T17:41:08.331275,h264,aac,UNKNOWN,OK,1629.6272,25.0,720x576,436.0,0.0,False,False,False
1.0,1,110856,|UK|  BBC ONE SCOT ᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77365.ts,835,2025-12-13T17:41:18.460565,h264,aac,PROGRESSIVE,OK,1509.1536,25.0,720x576,436.0,0.0,False,False,False
1.0,1,110861,|UK|  BBC ONE SCOTLAND ᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77376.ts,835,2025-12-13T17:41:47.815169,h264,aac,PROGRESSIVE,OK,7952.8464,25.0,1920x1080,474.0,0.0,False,False,True
1.0,1,62841,|UK|  BBC ONE SOUTH,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77374.ts,835,2025-12-13T17:42:04.533869,h264,mp2,INTERLACED,OK,7681.390399999999,25.0,1920x1080,419.0,0.0,False,False,True
1.0,1,110046,|UK|  BBC ONE NEWS ᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77360.ts,835,2025-12-13T17:42:40.203593,h264,aac,PROGRESSIVE,OK,2934.4208,25.0,1280x720,472.0,0.0,False,False,False
1.0,1,62845,|UK|  BBC ONE SCOTLAND ᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77376.ts,835,2025-12-13T17:42:55.699731,h264,aac,PROGRESSIVE,OK,7958.373600000001,25.0,1920x1080,474.0,0.0,False,False,False
1.0,1,110853,|UK|  BBC ONE LON,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77364.ts,835,2025-12-13T17:43:16.117628,h264,ac3,PROGRESSIVE,OK,3956.9104,25.0,1920x1080,315.0,0.0,False,False,False
1.0,1,62030,|UK|  BBC ONE NEWS ᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77360.ts,835,2025-12-13T17:43:37.501808,h264,aac,PROGRESSIVE,OK,2415.4128,25.0,1280x720,472.0,0.0,False,False,False
1.0,1,110067,|UK| BBC One North East & Cumbria ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/690827.ts,835,2025-12-13T17:43:58.607657,h264,ac3,INTERLACED,OK,17863.304,25.0,1920x1080,315.0,0.0,False,False,True
1.0,1,62837,|UK|  BBC ONE LON,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77364.ts,835,2025-12-13T17:44:03.415700,h264,ac3,PROGRESSIVE,OK,3920.6096,25.0,1920x1080,315.0,0.0,False,False,False
1.0,1,110858,|UK| BBC ONE S WEST,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77373.ts,835,2025-12-13T17:44:45.995950,h264,ac3,INTERLACED,OK,3761.0064,25.0,1920x1080,315.0,0.0,False,False,True
1.0,1,62835,|UK|  BBC ONE EAST MIDLANDS,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77370.ts,835,2025-12-13T17:44:46.995440,h264,ac3,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
1.0,1,62050,|UK| BBC One Channel Islands ᵁᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/690825.ts,835,2025-12-13T17:44:58.437934,h264,ac3,INTERLACED,OK,4865.0744,25.0,1920x1080,315.0,0.0,False,False,False
1.0,1,62834,|UK|  BBC ONE EAST E,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77371.ts,835,2025-12-13T17:46:44.257282,h264,ac3,INTERLACED,OK,2892.6736,25.0,1920x1080,315.0,0.0,False,False,True
