channel_number,channel_id,channel_group_id,stream_id,stream_name,stream_url
28.0,31,835,110874,|UK|  5STAR,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77389.ts
28.0,31,835,62858,|UK|  5STAR,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77389.ts
28.0,31,835,52250,UK| 5STAR SD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/191679.ts
28.0,31,835,52197,UK| 5STAR HD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/153640.ts
28.0,31,835,49501,UK: 5Star,http://easyip.xyz/live/g38Stuew/j7jmCpJ/7023.ts
28.0,31,835,21930,UK: 5 STAR ◉,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/162291.ts
